Order_Number,Order_Date,Ship_Date,Customer_Name_Index,Channel,Currency_Code,Warehouse_Code,Delivery_Region_Index,Product_Description_Index,Order_Quantity,Unit_Selling_Price,Unit_Cost
SO - 000654,1/16/2020,1/29/2020,12,Wholesale,NZD,AXW291,40,11,11,1051.9,515.431
SO - 0001892,1/16/2020,1/25/2020,14,Distributor,USD,AXW291,37,5,6,3155.7,2240.547
SO - 0002825,1/16/2020,1/29/2020,47,Wholesale,AUD,AXW291,49,10,5,3175.8,1905.48
SO - 0004556,1/16/2020,1/19/2020,37,Distributor,GBP,AXW291,16,2,10,1876,1013.04
SO - 0005016,1/16/2020,1/20/2020,50,Distributor,NZD,AXW291,48,13,10,2619.7,1938.578
SO - 0005689,1/16/2020,1/28/2020,1,Distributor,NZD,AXW291,26,11,5,1058.6,783.364
SO - 0006321,1/16/2020,1/25/2020,12,Distributor,NZD,AXW291,63,2,9,3939.6,2481.948
SO - 000144,1/17/2020,1/25/2020,21,Wholesale,NZD,AXW291,55,5,7,3095.4,2012.01
SO - 000357,1/17/2020,1/30/2020,49,Wholesale,USD,AXW291,16,2,8,891.1,739.613
SO - 0001466,1/17/2020,1/27/2020,24,Wholesale,NZD,AXW291,94,2,10,1172.5,715.225
SO - 0002331,1/17/2020,1/25/2020,18,Wholesale,NZD,AXW291,66,6,6,1822.4,1111.664
SO - 0002409,1/17/2020,1/29/2020,6,Wholesale,NZD,AXW291,51,7,9,1105.5,773.85
SO - 0002878,1/17/2020,1/25/2020,34,Distributor,NZD,AXW291,40,2,11,1025.1,635.562
SO - 0003178,1/17/2020,1/22/2020,38,Export,AUD,AXW291,11,1,5,737,368.5
SO - 0003419,1/17/2020,1/29/2020,46,Export,NZD,AXW291,79,9,10,1098.8,637.304
SO - 0003637,1/17/2020,1/30/2020,33,Distributor,NZD,AXW291,46,1,6,737,302.17
SO - 000418,1/18/2020,1/27/2020,13,Wholesale,NZD,AXW291,76,13,7,703.5,316.575
SO - 0001373,1/18/2020,1/29/2020,17,Distributor,NZD,AXW291,60,5,12,2532.6,1848.798
SO - 0003278,1/18/2020,2/5/2020,46,Wholesale,NZD,AXW291,84,5,5,3819,2405.97
SO - 0003642,1/18/2020,1/21/2020,4,Export,AUD,AXW291,2,5,6,750.4,487.76
SO - 0006249,1/18/2020,1/31/2020,15,Distributor,EUR,AXW291,22,1,7,1728.6,1071.732
SO - 0006328,1/18/2020,1/25/2020,27,Wholesale,AUD,AXW291,8,6,8,247.9,114.034
SO - 0006428,1/18/2020,2/4/2020,22,Export,NZD,AXW291,11,7,12,2934.6,1437.954
SO - 0007229,1/18/2020,2/4/2020,21,Wholesale,NZD,AXW291,34,11,6,3879.3,2094.822
SO - 0007857,1/18/2020,1/29/2020,2,Export,EUR,AXW291,13,4,7,2257.9,1106.371
SO - 0008068,1/18/2020,1/30/2020,12,Wholesale,EUR,AXW291,1,7,7,3403.6,2688.844
SO - 000561,1/19/2020,1/23/2020,48,Wholesale,NZD,AXW291,54,1,7,1206,663.3
SO - 0002217,1/19/2020,2/5/2020,21,Wholesale,NZD,AXW291,66,14,9,1098.8,483.472
SO - 0003600,1/19/2020,2/6/2020,45,Wholesale,NZD,AXW291,55,7,5,207.7,145.39
SO - 0003757,1/19/2020,1/23/2020,44,Wholesale,USD,AXW291,83,11,9,2445.5,1393.935
SO - 0003773,1/19/2020,1/28/2020,37,Wholesale,AUD,AXW291,9,7,7,2479,2007.99
SO - 0004807,1/19/2020,2/4/2020,14,Wholesale,NZD,AXW291,20,7,10,1005,582.9
SO - 0005301,1/19/2020,1/26/2020,39,Export,EUR,AXW291,68,8,7,254.6,175.674
SO - 0005616,1/19/2020,2/4/2020,10,Wholesale,NZD,AXW291,46,5,7,1996.6,1557.348
SO - 0007476,1/19/2020,2/4/2020,2,Export,EUR,AXW291,36,13,11,2432.1,1970.001
SO - 0001344,1/20/2020,2/2/2020,49,Wholesale,USD,AXW291,15,7,5,2271.3,1294.641
SO - 0002122,1/20/2020,1/25/2020,42,Wholesale,NZD,AXW291,71,1,6,884.4,689.832
SO - 0002222,1/20/2020,2/6/2020,19,Wholesale,USD,AXW291,93,1,12,1842.5,902.825
SO - 0005352,1/20/2020,1/24/2020,19,Distributor,EUR,AXW291,54,11,5,1072,761.12
SO - 000219,1/21/2020,1/28/2020,11,Export,NZD,AXW291,9,9,8,1748.7,1101.681
SO - 000619,1/21/2020,2/2/2020,37,Distributor,USD,AXW291,76,2,8,1078.7,755.09
SO - 0001310,1/21/2020,1/31/2020,13,Wholesale,AUD,AXW291,41,10,7,737,626.45
SO - 0002610,1/21/2020,1/26/2020,49,Wholesale,USD,AXW291,47,5,10,1788.9,751.338
SO - 0003341,1/21/2020,1/25/2020,12,Wholesale,NZD,AXW291,50,5,12,2224.4,1757.276
SO - 0003868,1/21/2020,1/25/2020,1,Wholesale,EUR,AXW291,21,1,8,2512.5,1331.625
SO - 0004528,1/21/2020,2/3/2020,24,Wholesale,AUD,AXW291,33,11,11,6358.3,3942.146
SO - 0006086,1/21/2020,2/2/2020,15,Distributor,EUR,AXW291,10,2,12,3966.4,1705.552
SO - 0006234,1/21/2020,1/28/2020,5,Wholesale,USD,AXW291,59,13,6,1983.2,1269.248
SO - 0006644,1/21/2020,2/3/2020,18,Distributor,USD,AXW291,17,11,7,5507.4,2533.404
SO - 0007123,1/21/2020,1/30/2020,38,Distributor,NZD,AXW291,93,9,11,1005,532.65
SO - 0003397,1/22/2020,1/28/2020,5,Wholesale,USD,AXW291,10,13,10,201,142.71
SO - 0004965,1/22/2020,2/7/2020,48,Distributor,USD,AXW291,45,14,7,3825.7,1874.593
SO - 0006379,1/22/2020,1/27/2020,13,Wholesale,USD,AXW291,28,5,8,1038.5,726.95
SO - 0007641,1/22/2020,1/25/2020,40,Distributor,GBP,AXW291,88,9,10,201,168.84
SO - 0007767,1/22/2020,1/28/2020,47,Wholesale,NZD,AXW291,76,1,6,1842.5,1252.9
SO - 0004252,1/23/2020,2/5/2020,16,Export,NZD,AXW291,28,5,10,1005,683.4
SO - 0005888,1/23/2020,2/4/2020,12,Distributor,NZD,AXW291,68,2,9,3926.2,3140.96
SO - 0006536,1/23/2020,2/8/2020,10,Wholesale,AUD,AXW291,26,7,10,1085.4,662.094
SO - 0006863,1/23/2020,2/1/2020,39,Wholesale,EUR,AXW291,9,13,5,944.7,755.76
SO - 0007141,1/23/2020,2/2/2020,7,Wholesale,USD,AXW291,4,11,8,2619.7,2174.351
SO - 0002449,1/24/2020,1/29/2020,30,Wholesale,USD,AXW291,33,1,7,1145.7,641.592
SO - 0003322,1/24/2020,1/28/2020,5,Wholesale,GBP,AXW291,80,7,7,5272.9,4165.591
SO - 0003376,1/24/2020,1/31/2020,41,Distributor,NZD,AXW291,30,5,9,187.6,138.824
SO - 0004653,1/24/2020,2/10/2020,21,Wholesale,GBP,AXW291,24,1,9,1232.8,788.992
SO - 0004727,1/24/2020,2/11/2020,5,Export,EUR,AXW291,49,1,9,2814,1997.94
SO - 000185,1/25/2020,2/5/2020,8,Export,AUD,AXW291,26,5,9,5447.1,3540.615
SO - 0005852,1/25/2020,1/28/2020,23,Wholesale,NZD,AXW291,35,5,9,938,750.4
SO - 0006229,1/25/2020,2/8/2020,32,Wholesale,NZD,AXW291,5,11,9,2278,1161.78
SO - 0007796,1/25/2020,2/3/2020,27,Distributor,USD,AXW291,49,7,5,1782.2,1497.048
SO - 0001851,1/26/2020,2/4/2020,17,Export,USD,AXW291,21,11,9,2740.3,1205.732
SO - 0003418,1/26/2020,2/7/2020,40,Export,USD,AXW291,87,11,12,917.9,523.203
SO - 0003535,1/26/2020,2/6/2020,10,Wholesale,AUD,AXW291,59,11,5,1976.5,1462.61
SO - 0004051,1/26/2020,2/8/2020,10,Wholesale,USD,AXW291,76,7,8,1943,1224.09
SO - 0005008,1/26/2020,2/10/2020,38,Distributor,AUD,AXW291,93,11,11,850.9,697.738
SO - 0005207,1/26/2020,2/5/2020,32,Wholesale,NZD,AXW291,34,2,10,857.6,497.408
SO - 0005249,1/26/2020,1/29/2020,15,Wholesale,NZD,AXW291,55,2,11,1192.6,632.078
SO - 0006241,1/26/2020,2/3/2020,44,Wholesale,NZD,AXW291,9,1,10,1065.3,628.527
SO - 0007164,1/26/2020,1/31/2020,2,Wholesale,USD,AXW291,64,2,8,2311.5,1386.9
SO - 0004444,1/27/2020,2/9/2020,14,Wholesale,GBP,AXW291,42,1,5,1051.9,746.849
SO - 0004566,1/27/2020,2/14/2020,40,Export,AUD,AXW291,97,7,10,3839.1,2149.896
SO - 0004671,1/27/2020,2/3/2020,37,Wholesale,USD,AXW291,12,1,11,201,118.59
SO - 0007527,1/27/2020,2/4/2020,25,Wholesale,AUD,AXW291,93,13,6,1159.1,869.325
SO - 0004766,1/28/2020,2/4/2020,47,Distributor,EUR,AXW291,63,11,9,2425.4,1479.494
SO - 0007205,1/28/2020,2/14/2020,5,Export,USD,AXW291,35,1,7,938,712.88
SO - 0001700,1/29/2020,2/5/2020,41,Wholesale,NZD,AXW291,15,1,8,857.6,686.08
SO - 0004950,1/29/2020,2/9/2020,46,Distributor,NZD,AXW291,48,2,9,3825.7,3098.817
SO - 0003330,1/30/2020,2/8/2020,27,Export,NZD,AXW291,22,7,9,1306.5,535.665
SO - 0004404,1/30/2020,2/8/2020,21,Wholesale,AUD,AXW291,100,2,6,3906.1,2031.172
SO - 0004681,1/30/2020,2/11/2020,1,Distributor,EUR,AXW291,14,2,11,5045.1,3027.06
SO - 0005128,1/30/2020,2/13/2020,43,Distributor,USD,AXW291,3,11,5,227.8,161.738
SO - 0005510,1/30/2020,2/14/2020,15,Wholesale,AUD,AXW291,35,13,9,1876,1275.68
SO - 0006238,1/30/2020,2/4/2020,2,Wholesale,NZD,AXW291,55,2,9,2338.3,1286.065
SO - 0007680,1/30/2020,2/16/2020,30,Wholesale,AUD,AXW291,93,11,11,1755.4,754.822
SO - 0007828,1/30/2020,2/14/2020,3,Export,USD,AXW291,54,5,10,3470.6,2845.892
SO - 0008076,1/30/2020,2/9/2020,46,Wholesale,NZD,AXW291,41,7,5,1038.5,664.64
SO - 000531,1/31/2020,2/4/2020,33,Wholesale,EUR,AXW291,85,4,6,1172.5,809.025
SO - 0002336,1/31/2020,2/4/2020,20,Distributor,NZD,AXW291,83,7,9,3457.2,1452.024
SO - 0002721,1/31/2020,2/16/2020,17,Wholesale,NZD,AXW291,68,14,10,6311.4,4986.006
SO - 0003215,1/31/2020,2/11/2020,16,Wholesale,EUR,AXW291,73,7,11,174.2,127.166
SO - 0003944,1/31/2020,2/5/2020,44,Wholesale,NZD,AXW291,100,13,12,268,171.52
SO - 0006288,1/31/2020,2/3/2020,41,Distributor,USD,AXW291,34,4,9,1038.5,571.175
SO - 0006474,1/31/2020,2/14/2020,28,Distributor,NZD,AXW291,50,5,7,6217.6,4974.08
SO - 0007429,1/31/2020,2/10/2020,34,Wholesale,NZD,AXW291,42,7,6,3966.4,2974.8
SO - 000289,2/1/2020,2/10/2020,24,Wholesale,EUR,AXW291,70,2,7,1996.6,1397.62
SO - 000897,2/1/2020,2/8/2020,14,Distributor,NZD,AXW291,18,11,11,3008.3,1594.399
SO - 0001604,2/1/2020,2/4/2020,44,Export,EUR,AXW291,43,2,6,5815.6,3082.268
SO - 0002055,2/1/2020,2/15/2020,4,Wholesale,NZD,AXW291,55,12,5,1185.9,960.579
SO - 0002824,2/1/2020,2/16/2020,11,Wholesale,EUR,AXW291,82,3,8,1092.1,589.734
SO - 0003708,2/1/2020,2/19/2020,14,Distributor,NZD,AXW291,55,5,6,187.6,146.328
SO - 0004298,2/1/2020,2/8/2020,19,Distributor,USD,AXW291,43,12,9,6432,4373.76
SO - 0006139,2/1/2020,2/11/2020,29,Distributor,NZD,AXW291,51,1,7,3865.9,1700.996
SO - 0006538,2/1/2020,2/4/2020,19,Wholesale,AUD,AXW291,23,9,8,1098.8,450.508
SO - 0007366,2/1/2020,2/6/2020,36,Export,NZD,AXW291,62,4,10,790.6,545.514
SO - 0007450,2/1/2020,2/13/2020,33,Distributor,USD,AXW291,49,13,9,884.4,548.328
SO - 000754,2/2/2020,2/12/2020,38,Wholesale,GBP,AXW291,69,11,7,1078.7,442.267
SO - 0002307,2/2/2020,2/11/2020,17,Export,GBP,AXW291,89,5,11,167.5,78.725
SO - 0004232,2/2/2020,2/10/2020,7,Distributor,NZD,AXW291,38,1,7,1078.7,647.22
SO - 0004355,2/2/2020,2/11/2020,11,Distributor,USD,AXW291,31,2,12,670,408.7
SO - 0004548,2/2/2020,2/14/2020,33,Export,USD,AXW291,30,7,6,6277.9,4143.414
SO - 0004604,2/2/2020,2/14/2020,21,Wholesale,NZD,AXW291,16,9,5,1078.7,776.664
SO - 0006403,2/2/2020,2/11/2020,6,Distributor,NZD,AXW291,53,10,5,1333.3,986.642
SO - 0007042,2/2/2020,2/5/2020,5,Distributor,NZD,AXW291,23,1,12,1996.6,1677.144
SO - 0007067,2/2/2020,2/14/2020,11,Wholesale,NZD,AXW291,59,1,11,2592.9,1192.734
SO - 0007654,2/2/2020,2/9/2020,5,Distributor,USD,AXW291,37,13,11,2606.3,1668.032
SO - 0007986,2/2/2020,2/16/2020,18,Distributor,NZD,AXW291,88,9,7,1132.3,532.181
SO - 000259,2/3/2020,2/13/2020,22,Wholesale,AUD,AXW291,48,9,11,2231.1,1784.88
SO - 0001007,2/3/2020,2/14/2020,29,Distributor,AUD,AXW291,20,7,8,1922.9,865.305
SO - 0001237,2/3/2020,2/16/2020,18,Wholesale,USD,AXW291,69,11,11,5628,4108.44
SO - 0002670,2/3/2020,2/12/2020,46,Wholesale,EUR,AXW291,75,7,12,3959.7,2811.387
SO - 0002953,2/3/2020,2/6/2020,39,Distributor,EUR,AXW291,62,7,5,1025.1,697.068
SO - 0004408,2/3/2020,2/15/2020,44,Distributor,NZD,AXW291,79,5,7,1145.7,836.361
SO - 000784,2/4/2020,2/18/2020,35,Export,NZD,AXW291,17,7,11,194.3,110.751
SO - 0002691,2/4/2020,2/7/2020,1,Distributor,GBP,AXW291,81,7,7,1031.8,588.126
SO - 0004754,2/4/2020,2/10/2020,33,Wholesale,NZD,AXW291,21,12,8,6304.7,5106.807
SO - 0005111,2/4/2020,2/7/2020,47,Export,AUD,AXW291,96,1,6,5862.5,2872.625
SO - 0005435,2/4/2020,2/20/2020,46,Wholesale,AUD,AXW291,7,11,5,3370.1,2527.575
SO - 0005542,2/4/2020,2/9/2020,7,Distributor,USD,AXW291,7,7,8,1045.2,710.736
SO - 0005697,2/4/2020,2/9/2020,43,Distributor,GBP,AXW291,80,13,10,1983.2,1189.92
SO - 0007647,2/4/2020,2/19/2020,29,Wholesale,USD,AXW291,38,1,8,984.9,827.316
SO - 0007882,2/4/2020,2/14/2020,43,Distributor,NZD,AXW291,47,5,6,931.3,791.605
SO - 0001838,2/5/2020,2/11/2020,30,Wholesale,NZD,AXW291,12,12,10,2566.1,1950.236
SO - 0002093,2/5/2020,2/15/2020,24,Export,NZD,AXW291,12,2,9,6391.8,3323.736
SO - 0004159,2/5/2020,2/19/2020,3,Wholesale,GBP,AXW291,18,2,6,194.3,97.15
SO - 0004551,2/5/2020,2/18/2020,42,Wholesale,NZD,AXW291,5,1,9,1775.5,1154.075
SO - 0005551,2/5/2020,2/14/2020,22,Distributor,USD,AXW291,72,14,8,2499.1,1774.361
SO - 0006056,2/5/2020,2/17/2020,4,Wholesale,NZD,AXW291,54,5,10,3075.3,1722.168
SO - 0007390,2/5/2020,2/22/2020,4,Wholesale,AUD,AXW291,57,5,9,3939.6,2718.324
SO - 0001213,2/6/2020,2/14/2020,23,Distributor,AUD,AXW291,22,11,12,2659.9,2154.519
SO - 0002848,2/6/2020,2/15/2020,22,Wholesale,AUD,AXW291,47,11,5,5078.6,3351.876
SO - 0004421,2/6/2020,2/24/2020,13,Distributor,USD,AXW291,75,1,7,227.8,113.9
SO - 0006310,2/6/2020,2/13/2020,21,Wholesale,USD,AXW291,76,2,7,2546,1196.62
SO - 0006805,2/6/2020,2/17/2020,48,Export,NZD,AXW291,40,7,11,2385.2,1765.048
SO - 0001971,2/7/2020,2/19/2020,26,Distributor,EUR,AXW291,91,2,10,3155.7,1262.28
SO - 0004473,2/7/2020,2/24/2020,5,Export,NZD,AXW291,75,12,10,234.5,171.185
SO - 0005011,2/7/2020,2/25/2020,17,Wholesale,NZD,AXW291,9,14,10,1005,592.95
SO - 0007907,2/7/2020,2/10/2020,33,Distributor,USD,AXW291,64,1,11,3289.7,2204.099
SO - 000646,2/8/2020,2/14/2020,36,Distributor,USD,AXW291,72,5,11,1902.8,1084.596
SO - 0001557,2/8/2020,2/13/2020,15,Distributor,NZD,AXW291,2,11,8,670,475.7
SO - 0002749,2/8/2020,2/18/2020,37,Distributor,NZD,AXW291,44,13,10,1098.8,879.04
SO - 0003066,2/8/2020,2/24/2020,38,Wholesale,NZD,AXW291,41,11,12,180.9,117.585
SO - 0004179,2/8/2020,2/23/2020,48,Distributor,AUD,AXW291,28,2,11,3289.7,1348.777
SO - 0007133,2/8/2020,2/11/2020,1,Wholesale,USD,AXW291,99,5,8,1226.1,956.358
